"Latest: Time (s)","Latest: Temperature (°C)"
395,17.5653015549
395.5,17.5503385273
396,17.5353737417
396.5,17.526394025
397,17.5159168862
397.5,17.5039419534
398,17.4904688004
398.5,17.478491459
399,17.4680103532
399.5,17.4485431297
400,17.4320685103
400.5,17.4170897074
401,17.4051053758
401.5,17.3961163738
402,17.3871267253
402.5,17.3691454853
403,17.3511616496
403.5,17.3406698774
404,17.3241810146
404.5,17.3121877362
405,17.3031920145
405.5,17.2956950795
406,17.2836990364
406.5,17.2687023409
407,17.2537038177
407.5,17.2387034631
408,17.2267018584
408.5,17.2176998829
409,17.2041956772
409.5,17.1951920439
410,17.1786836563
410.5,17.1651751289
411,17.150163893
411.5,17.1366521929
412,17.1246405276
412.5,17.1141293422
413,17.10812254
413.5,17.0991117764
414,17.0840923405
414.5,17.0720754428
415,17.0525454214
415.5,17.0405253665
416,17.0285041053
416.5,17.016481636
417,17.00746399
417.5,16.9969425415
418,16.9819102891
418.5,16.9668761371
419,16.9518400818
419.5,16.9292824218
420,16.9082247228
420.5,16.8901722746
421,16.875126453
421.5,16.8630884088
422,16.852554107
422.5,16.8420188585
423,16.8314826617
423.5,16.8194401314
424,16.8104074186
424.5,16.7923398937
425,16.7787874098
425.5,16.7667394309
426,16.7561964234
426.5,16.7486651168
427,16.7396269024
427.5,16.7275748515
428,16.7155215436
428.5,16.7049738664
429,16.6914111485
429.5,16.6793540575
430,16.6627734914
430.5,16.6507133928
431,16.6371442641
431.5,16.6311130237
432,16.6235735256
432.5,16.6115092933
433,16.5949188897
433.5,16.5828516233
434,16.5753089315
434.5,16.5617308239
435,16.5526778493
435.5,16.5436241514
436,16.5345697293
436.5,16.5240053206
437,16.5149493268
437.5,16.501363973
438,16.4862672141
438.5,16.4726783988
439,16.4651283467
439.5,16.4530472066
440,16.4454958329
440.5,16.4334125755
441,16.4198173503
441.5,16.4062204699
442,16.3926219313
442.5,16.3805329472
443,16.3729766648
443.5,16.3578625578
444,16.3503047321
444.5,16.3442581006
445,16.3351875342
445.5,16.3261162242
446,16.3155320883
446.5,16.3034346905
447,16.2913359655
447.5,16.2762106897
448,16.2686472716
448.5,16.2580576115
449,16.2474669294
449.5,16.2429277524
450,16.2308223608
450.5,16.2202290444
451,16.2096347012
451.5,16.1960118918
452,16.1854151964
452.5,16.177845497
453,16.1702752708
453.5,16.1627045175
454,16.1521045762
454.5,16.1415035993
455,16.1324162224
455.5,16.1202985332
456,16.1096944413
456.5,16.0975742041
457,16.0884831327
457.5,16.080906654
458,16.0687831792
458.5,16.0612053135
459,16.0536269134
459.5,16.0415003606
460,16.0248241108
460.5,16.0157268799
461,16.0051124658
461.5,15.9960135571
462,15.9853971832
462.5,15.9778134118
463,15.9702291005
463.5,15.9626442488
464,15.9505073607
464.5,15.9444383968
465,15.9353343002
465.5,15.9262294222
466,15.9140883675
466.5,15.9004280159
467,15.8882839986
467.5,15.8791750688
468,15.870065352
468.5,15.8624733196
469,15.8579178373
469.5,15.8472876115
470,15.8381751336
470.5,15.8229859126
471,15.8138713238
471.5,15.8047559417
472,15.7926008636
472.5,15.7789247107
473,15.774365595
473.5,15.7667666258
474,15.7622069785
474.5,15.753087085
475,15.7454865634
475.5,15.7363652042
476,15.7272430444
476.5,15.7150789175
477,15.6998717518
477.5,15.6937882602
478,15.6892254068
478.5,15.6816202037
479,15.6664081177
479.5,15.6618440547
480,15.6511937888
480.5,15.6374989715
481,15.6268461867
481.5,15.6177143493
482,15.6101038644
482.5,15.5979259141
483,15.5903139603
483.5,15.5781336569
484,15.5720429613
484.5,15.5674747014
485,15.5644290813
485.5,15.5537686955
486,15.5446303354
486.5,15.5339678795
487,15.5248277429
487.5,15.5141632121
488,15.5050212949
488.5,15.4958785544
489,15.4821628981
489.5,15.4760664549
490,15.4699696445
490.5,15.4638724667
491,15.4501524718
491.5,15.441004773
492,15.4318562446
492.5,15.4227068857
493,15.415081785
493.5,15.4059309014
494,15.3967791847
494.5,15.3876266342
495,15.3830500459
495.5,15.3754219347
496,15.3723705277
496.5,15.3693190278
497,15.3616898712
497.5,15.3571120981
498,15.3418513413
498.5,15.3342200888
499,15.326588253
499.5,15.3143761009
500,15.3082694636
500.5,15.3036892398
501,15.297581947
501.5,15.2899473035
502,15.2823120737
502.5,15.2762034672
503,15.2670398525
503.5,15.2548203823
504,15.247182448
504.5,15.2380161488
505,15.2273210592
505.5,15.2212090597
506,15.2135685281
506.5,15.2074556769
507,15.2043991092
507.5,15.1937003756
508,15.1830004796
508.5,15.1784144536
509,15.1722994196
509.5,15.1600682098
510,15.1539520334
510.5,15.1417185363
511,15.1294835117
511.5,15.1203062394
512,15.1111281058
512.5,15.1019491099
513,15.0912391902
513.5,15.0835885275
514,15.0820583228
514.5,15.0728765902
515,15.062163474
515.5,15.0514491775
516,15.0392028199
516.5,15.0346100374
517,15.0254238197
517.5,15.014705465
518,15.0085801581
518.5,15.0039859234
519,14.9932651935
519.5,14.9886702308
520,14.9779478006
520.5,14.9702881923
521,14.9641600674
521.5,14.9595637179
522,14.9457733527
522.5,14.9365786774
523,14.9258504441
523.5,14.9166538611
524,14.9135881376
524.5,14.9074563963
525,14.899791168
525.5,14.8951917365
526,14.8859922103
526.5,14.8798587012
527,14.8675905019
527.5,14.8522530353
528,14.8415153406
528.5,14.8338448175
529,14.8292422068
529.5,14.8185019158
530,14.8123640617
530.5,14.8031565368
531,14.7954829168
531.5,14.7908784468
532,14.7847388056
532.5,14.7785987664
533,14.7693879609
533.5,14.7663174931
534,14.7540346248
534.5,14.7386787931
535,14.7294640943
535.5,14.7217844904
536,14.7125681391
536.5,14.7064234035
537,14.7002782664
537.5,14.69259628
538,14.6879867866
538.5,14.6818404433
539,14.6710833737
539.5,14.6557139897
540,14.6495655297
540.5,14.6403420819
541,14.6341926112
541.5,14.6234300633
542,14.6188171629
542.5,14.6095906777
543,14.6019012425
543.5,14.5972872767
544,14.5942111725
544.5,14.5849822498
