"Latest: Time (s)","Latest: Temperature (°C)"
96,21.2791720634
96.5,21.3055053958
97,21.342074615
97.5,21.3757133498
98,21.3976491195
98.5,21.4342043198
99,21.4502868697
99.5,21.4897577489
100,21.5175297704
100.5,21.543837246
101,21.5686806563
101.5,21.6066717244
102,21.6300480171
102.5,21.6461179772
103,21.6753335108
103.5,21.6972429922
104,21.726452762
104.5,21.7483579486
105,21.7673409685
105.5,21.7950829325
106,21.8184423438
106.5,21.8315811167
107,21.8534776452
107.5,21.8724532013
108,21.9060220956
108.5,21.9176972668
109,21.9366683628
109.5,21.9585564701
110,21.9819018839
110.5,22.0008685963
111,22.0183751942
111.5,22.0271280856
112,22.0475504468
112.5,22.0665127549
113,22.0898492548
113.5,22.0985999537
114,22.1204755409
114.5,22.1277670364
115,22.1452658802
115.5,22.1656798738
116,22.178802406
116.5,22.1904663889
117,22.202129912
117.5,22.2137929768
118,22.2239977839
118.5,22.237117738
119,22.253152458
119.5,22.2691863245
120,22.2837618293
120.5,22.2852193413
121,22.3012515126
121.5,22.3099959783
122,22.3245695331
122.5,22.3362278795
123,22.3537145736
123.5,22.3580860928
124,22.3712002817
124.5,22.3755715552
125,22.3770286328
125.5,22.3915990351
126,22.3988839823
126.5,22.4090826246
127,22.420737812
127.5,22.4251083965
128,22.4367629938
128.5,22.4484171638
129,22.4586142133
129.5,22.4688109378
130,22.4702675862
130.5,22.4804639406
131,22.489203416
131.5,22.4921165219
132,22.4950296016
132.5,22.5008556822
133,22.5110510714
133.5,22.519789722
134,22.5299845183
134.5,22.5358099735
135,22.5387226622
135.5,22.5430916468
136,22.5532857183
136.5,22.5591107603
137,22.5634794744
137.5,22.5663919183
138,22.5722167293
138.5,22.5780414379
139,22.5824099022
139.5,22.5853221799
140,22.5867783092
140.5,22.5867783092
141,22.5911466588
141.5,22.6013392522
142,22.6042513647
142.5,22.6057074114
143,22.6086194858
143.5,22.6100755136
144,22.6129875501
144.5,22.6217235082
145,22.6260914022
145.5,22.6290033
146,22.6290033
146.5,22.6362829348
147,22.637738843
147.5,22.6406506404
148,22.6479300247
148.5,22.6493858828
149,22.6493858828
149.5,22.6537534197
150,22.6537534197
150.5,22.6552092529
151,22.6552092529
151.5,22.6552092529
152,22.6552092529
152.5,22.6566650798
153,22.6581209005
153.5,22.659576715
154,22.659576715
154.5,22.6624883253
155,22.6624883253
155.5,22.6683114714
156,22.6683114714
156.5,22.6741345182
157,22.6741345182
157.5,22.6755902644
158,22.6770460045
158.5,22.6770460045
159,22.6785017383
159.5,22.679957466
160,22.679957466
160.5,22.6785017383
161,22.6814131875
161.5,22.6814131875
162,22.6814131875
162.5,22.6828689028
163,22.684324612
163.5,22.6828689028
164,22.6814131875
164.5,22.684324612
165,22.6814131875
165.5,22.6857803149
166,22.6814131875
166.5,22.6828689028
167,22.6814131875
167.5,22.6814131875
168,22.6814131875
168.5,22.6814131875
169,22.679957466
169.5,22.6814131875
170,22.6814131875
170.5,22.6785017383
171,22.6785017383
171.5,22.679957466
172,22.6785017383
172.5,22.6770460045
173,22.679957466
173.5,22.6770460045
174,22.6785017383
174.5,22.6785017383
175,22.6785017383
175.5,22.6785017383
176,22.6785017383
176.5,22.6741345182
177,22.6741345182
177.5,22.6755902644
178,22.6741345182
178.5,22.6741345182
179,22.6741345182
179.5,22.6712230072
180,22.6697672424
184,22.6610325233
184.5,22.659576715
185,22.6624883253
185.5,22.6624883253
186,22.659576715
186.5,22.6581209005
187,22.6581209005
187.5,22.6552092529
188,22.6566650798
188.5,22.6566650798
189,22.6552092529
189.5,22.6552092529
190,22.6552092529
190.5,22.6522975803
191,22.6508417347
191.5,22.6450182898
192,22.6450182898
192.5,22.6406506404
193,22.6319151728
193.5,22.6246354438
194,22.6217235082
194.5,22.6173555575
195,22.6100755136
195.5,22.6086194858
196,22.6057074114
196.5,22.5955149513
197,22.5940588601
197.5,22.5882344321
198,22.5853221799
198.5,22.5809537538
199,22.573672916
199.5,22.5649356995
200,22.5620232428
200.5,22.5576545095
201,22.5460042709
201.5,22.5401789969
202,22.5343536194
202.5,22.5212461409
203,22.5081381357
203.5,22.4964861316
204,22.493573065
204.5,22.489203416
205,22.474637492
205.5,22.4673542827
206,22.4571575118
206.5,22.4411333575
207,22.4251083965
207.5,22.420737812
208,22.4061687605
208.5,22.3988839823
209,22.3828568752
209.5,22.3755715552
210,22.3682860652
210.5,22.3537145736
211,22.3391423972
211.5,22.3201975393
212,22.3085385847
212.5,22.2925067965
213,22.2837618293
213.5,22.2750166105
214,22.2589830535
214.5,22.2385754752
215,22.226913379
215.5,22.2137929768
216,22.1992140742
216.5,22.1875504363
217,22.1700541162
217.5,22.1613055663
218,22.1336001011
218.5,22.1204755409
219,22.1088087669
219.5,22.0971415223
220,22.072347058
220.5,22.0548437914
221,22.0373394499
221.5,22.0271280856
222,22.0096220313
222.5,21.9979507241
223,21.9789838141
223.5,21.9585564701
224,21.9352090941
224.5,21.9176972668
225,21.9074815191
225.5,21.8855893477
226,21.8651550677
226.5,21.8447192472
227,21.8257417415
227.5,21.8169824404
228,21.8023829681
228.5,21.7804822604
229,21.7541990234
229.5,21.7439770575
230,21.7235319321
230.5,21.7016246664
231,21.6782548821
231.5,21.6592653776
232,21.6358917557
232.5,21.6271260977
233,21.6066717244
233.5,21.5818320567
234,21.5599126745
234.5,21.54091433
235,21.5262992372
235.5,21.4999899084
236,21.4780633335
236.5,21.4561348075
237,21.4444387922
237.5,21.4254315731
238,21.4049606001
238.5,21.3801006634
239,21.3654759734
239.5,21.346462544
240,21.3157453445
240.5,21.2981908757
241,21.2791720634
241.5,21.2616148728
242,21.2425930991
242.5,21.2221063786
243,21.1928364999
243.5,21.1723453784
244,21.1591715505
244.5,21.1313576466
245,21.1123251252
245.5,21.0947552268
246,21.0757196286
246.5,21.0581468783
247,21.0376435952
247.5,21.0098146973
248,20.9951665085
248.5,20.974657414
249,20.9468205868
249.5,20.9248416457
250,20.9072568976
250.5,20.8867395582
251,20.8706174264
251.5,20.8442331529
252,20.8193116908
252.5,20.801718318
253,20.7870560616
253.5,20.7621278953
254,20.7386633992
254.5,20.7210633056
255,20.7019948654
255.5,20.6887926153
256,20.6682541131
256.5,20.6359752009
257,20.6242361596
257.5,20.6066263373
258,20.584611925
258.5,20.5581914856
259,20.5391079138
259.5,20.5229588661
260,20.5068085214
260.5,20.4877200724
261,20.4627555005
261.5,20.4407253334
262,20.4230994348
262.5,20.4084099832
263,20.3819662039
263.5,20.364335034
264,20.3393548144
264.5,20.3261286922
265,20.3143713811
265.5,20.2908546117
266,20.2643948101
266.5,20.2511635394
267,20.2320500855
267.5,20.2129347125
268,20.1879347788
268.5,20.1658732655
269,20.1482221922
269.5,20.134982797
270,20.1173288119
270.5,20.0996731551
271,20.0746581022
271.5,20.0540549316
272,20.0437524833
272.5,20.0172578222
273,19.9539494701
273.5,19.9362780838
274,19.9141864184
274.5,19.8891459169
275,19.8788341054
275.5,19.8582086972
276,19.8375809009
276.5,19.814003341
277,19.7992657702
277.5,19.7845269678
278,19.7668387747
278.5,19.7462002945
279,19.7314570314
279.5,19.7063906211
280,19.6857449782
280.5,19.6695216737
281,19.6547718916
281.5,19.6296943596
282,19.6134657671
282.5,19.5942845349
283,19.5795282722
283.5,19.5662465407
